0,1,2,3,4,5,6,7,8,9,10,11,Distr,12,13,14
1.0,0.0,19.207966723978146,23.0,,,15.0,1.0,25.0,4820776.0,1.0,,NW,40.7,1.0,151118119.0
1.0,0.0,19.207966723978146,3.0,,,15.0,1.0,25.0,4837399.0,1.0,,NW,40.2,1.0,151118420.0
1.0,0.0,19.207966723978146,4.0,,,15.0,1.0,25.0,4839089.0,1.0,,NW,40.2,1.0,151118237.0
1.0,0.0,19.207966723978146,4.0,,,15.0,1.0,25.0,4853534.0,1.0,,NW,40.3,1.0,151118336.0
1.0,0.0,19.207966723978146,8.0,,,15.0,1.0,25.0,4865898.0,1.0,,NW,40.4,1.0,151118093.0
1.0,0.0,19.207966723978146,3.0,,,15.0,1.0,25.0,4873056.0,1.0,,NW,40.2,1.0,151117849.0
1.0,0.0,19.207966723978146,19.0,,,15.0,1.0,25.0,4904092.0,1.0,,NW,40.7,1.0,151118278.0
1.0,0.0,19.207966723978146,3.0,,,15.0,1.0,25.0,4949063.0,1.0,,NW,40.1,1.0,151118012.0
1.0,0.0,19.207966723978146,13.0,,,15.0,1.0,25.0,5010505.0,1.0,,NW,40.6,1.0,151118353.0
1.0,0.0,19.207966723978146,7.0,,,15.0,1.0,25.0,5018223.0,1.0,,NW,39.7,1.0,151117809.0
1.0,1.0,19.207966723978146,21.0,,,15.0,1.0,24.0,5093778.0,1.0,,NW,39.3,1.0,151118709.0
1.0,0.0,19.207966723978146,10.0,,,15.0,1.0,25.0,5156362.0,1.0,,NW,40.5,1.0,151117870.0
1.0,1.0,19.207966723978146,17.0,,,15.0,1.0,24.0,5171545.0,1.0,,NW,39.9,1.0,151118689.0
,1.0,18.057784949278,7.0,,22.0,11.0,0.0,25.0,5300000.0,1.0,,NW,27.5,1.0,149894758.0
,1.0,18.057784949278,8.0,5.0,20.0,11.0,1.0,22.0,5300000.0,1.0,,NW,27.0,1.0,49140379.0
,,18.060358166150433,24.0,,,3.0,1.0,,5400000.0,1.0,,NW,27.7,0.0,151992131.0
1.0,0.0,19.57267137591472,6.0,8.5,19.0,10.0,0.0,17.0,6650000.0,1.0,0.0,NW,38.0,1.0,152049858.0
,1.0,18.060358166150433,4.0,5.0,20.0,11.0,1.0,25.0,5141000.0,1.0,,NW,28.0,1.0,2325826.0
1.0,0.0,19.499772307698226,20.0,10.5,46.0,7.0,0.0,22.0,14800000.0,3.0,1.0,NW,80.0,1.0,151738865.0
1.0,1.0,18.307200529381696,6.0,,38.0,10.0,0.0,25.0,10500000.0,2.0,,NW,76.0,1.0,152129360.0
1.0,,17.634582702340463,23.0,11.2,20.4,7.0,0.0,25.0,9500000.0,1.0,1.0,NW,50.2,1.0,150963036.0
,,18.060358166150433,4.0,,,3.0,1.0,,5300000.0,1.0,,NW,27.3,0.0,151992051.0
1.0,1.0,17.75388948792224,19.0,14.6,62.9,10.0,0.0,20.0,18900000.0,3.0,1.0,NW,107.8,1.0,151198408.0
1.0,1.0,18.345553380493254,23.0,12.0,18.0,9.0,1.0,25.0,7650000.0,1.0,,NW,42.7,1.0,152203562.0
1.0,1.0,18.265528092659377,2.0,13.0,33.5,9.0,1.0,25.0,10350000.0,2.0,,NW,65.0,1.0,152159747.0
1.0,0.0,19.207966723978146,2.0,,,15.0,1.0,25.0,5944538.0,2.0,,NW,53.0,1.0,151117795.0
1.0,1.0,17.75388948792224,8.0,12.9,22.7,5.0,0.0,20.0,8600000.0,1.0,1.0,NW,51.5,1.0,152140356.0
1.0,1.0,20.462149430878046,2.0,8.5,25.0,12.0,0.0,4.0,2407000.0,2.0,,NW,45.9,1.0,152184538.0
,0.0,19.81941073487161,1.0,12.0,66.3,10.0,0.0,16.0,15900000.0,4.0,1.0,NW,107.0,1.0,40460903.0
1.0,0.0,20.462149430878046,3.0,11.0,12.0,9.0,0.0,4.0,1717000.0,1.0,,NW,30.7,1.0,152182899.0
1.0,0.0,18.965237093965907,13.0,8.0,18.0,1.0,0.0,17.0,6850000.0,1.0,,NW,38.0,1.0,152143601.0
1.0,1.0,17.655347214822058,20.0,16.0,44.0,7.0,0.0,25.0,15000000.0,2.0,1.0,NW,88.0,1.0,151483848.0
1.0,0.0,19.207966723978146,2.0,,,15.0,1.0,25.0,4167491.0,1.0,,NW,36.1,1.0,151118225.0
1.0,0.0,19.172281228666503,4.0,9.0,18.0,7.0,0.0,22.0,6400000.0,1.0,1.0,NW,46.0,0.0,150872048.0
,,18.060358166150433,24.0,,,3.0,1.0,,5400000.0,1.0,,NW,27.8,0.0,151992134.0
1.0,0.0,17.05124372616934,16.0,10.0,34.0,7.0,0.0,17.0,10400000.0,2.0,1.0,NW,60.0,1.0,151353665.0
1.0,1.0,18.265528092659377,12.0,12.5,31.0,8.0,1.0,25.0,9250000.0,2.0,,NW,61.0,1.0,152204195.0
1.0,0.0,19.12668189047416,9.0,10.0,23.0,9.0,0.0,17.0,6700000.0,1.0,1.0,NW,40.0,0.0,151420870.0
,0.0,18.875400870899643,1.0,10.4,46.0,5.0,0.0,17.0,9900000.0,3.0,,NW,73.5,1.0,149786174.0
1.0,1.0,18.307200529381696,6.0,,20.0,10.0,0.0,25.0,7000000.0,1.0,,NW,42.0,1.0,152129538.0
1.0,1.0,20.462149430878046,2.0,9.0,35.0,9.0,0.0,4.0,3000000.0,3.0,,NW,58.0,1.0,152186227.0
1.0,0.0,19.147987829882744,5.0,10.1,46.0,7.0,0.0,17.0,10500000.0,3.0,1.0,NW,74.8,1.0,150755507.0
2.0,0.0,20.24718355088984,12.0,10.0,45.0,7.0,0.0,17.0,11000000.0,3.0,,NW,75.0,1.0,149933835.0
