Distance,Floor,Kitsp,Livsp,New,Nfloors,Price,Rooms,Totsp,Metrokm,Bal_0.0,Bal_1.0,Bal_2.0,Bal_3.0,Bal_4.0,Bal_na,Brick_0.0,Brick_1.0,Brick_na,Distr_C,Distr_E,Distr_N,Distr_NE,Distr_NW,Distr_S,Distr_SE,Distr_SW,Distr_W
23.839112150765928,4.0,14.038577894462305,63.03691453674867,1.0,15.0,7087072.0,3.0,99.0,1.3333333333333333,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
19.987285376800415,3.0,10.0,35.0,0.0,8.0,9800000.0,1.0,50.0,8.333333333333334,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
22.224935716953386,6.0,10.0,46.0,0.0,23.0,15700000.0,3.0,83.4,0.6666666666666666,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
20.183212219190573,3.0,14.0,51.0,0.0,8.0,19998000.0,3.0,85.0,12.5,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
18.345553380493254,2.0,12.0,50.0,0.0,17.0,13780000.0,3.0,92.0,0.26666666666666666,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
20.462149430878046,2.0,11.0,16.0,0.0,4.0,2150000.0,1.0,38.8,1.2666666666666666,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
17.916168678061407,3.0,50.0,100.0,0.0,4.0,31500000.0,5.0,190.0,0.6666666666666666,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
19.77480644117237,8.0,6.878447644281197,15.6,1.0,24.0,3632614.0,1.0,26.3,0.6666666666666666,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
19.77714465333668,2.0,5.0,25.0,0.0,4.0,3790000.0,1.0,35.5,0.9333333333333333,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
19.207966723978146,2.0,7.843637141554579,20.62170879546341,1.0,25.0,4273228.0,1.0,36.1,1.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
19.207966723978146,2.0,7.853486013975736,20.689141554988506,1.0,25.0,4394561.0,1.0,36.2,1.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
19.207966723978146,7.0,7.74514841734301,19.94738120021245,1.0,25.0,4437884.0,1.0,35.1,1.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
19.207966723978146,12.0,7.764846162185323,20.082246719262642,1.0,25.0,4468229.0,1.0,35.3,1.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
19.82307752608535,1.0,5.0,44.0,0.0,4.0,4600000.0,3.0,52.0,0.8666666666666667,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
